H: S:
/* Non-Breeder=1 	*/
/* Breeder=2		*/
000100000202202022  1 
000100000220000000  1 
010000000020000000  1 
000100000220000000  1 
000100000220020000  1 
000100000220022022  1 
000100000220022022  1 
000100000220022200  1 
000100000220022202  1 
000100000220202202  1 
000100000220202222  1 
000100000220222222  1 
000100000220222222  1 
000100000222022202  1 
000100000222200020  1 
000100000222222000  1 
000100000222222202  1 
000100000222222222  1 
000100002000000000  1 
000100002000000000  1 
000100002000000022  1 
000100002000000022  1 
000100002000000202  1 
000100002000022000  1 
000100002000022002  1 
000100002000202200  1 
000100002002002000  1 
000100002002020000  1 
000100002002022200  1 
000100002020002202  1 
000100002020222200  1 
000100002022000200  1 
000100002200000000  1 
000100002200000000  1 
000100002200022022  1 
000100002200202022  1 
000100002200202200  1 
000100002200202200  1 
000100002200222222  1 
000100002202020000  1 
000100002202202022  1 
000100002220022022  1 
000100002222000002  1 
000100020000000000  1 
010000000200002000  1 
001000000000000002  1 
001000000000000002  1 
001000000000000002  1 
001000000000000002  1 
001000000000000020  1 
001000000000000020  1 
001000000000000020  1 
001000000000000020  1 
001000000000000200  1 
001000000000000200  1 
001000000000000202  1 
001000000000000202  1 
001000000000000202  1 
001000000000000222  1 
001000000000002000  1 
001000000000002000  1 
001000000000002000  1 
001000000000002000  1 
001000000000002000  1 
001000000000002000  1 
001000000000002000  1 
001000000000002000  1 
001000000000002002  1 
001000000000002002  1 
001000000000002002  1 
001000000000002200  1 
001000000000002202  1 
001000000000002202  1 
001000000000002222  1 
001000000000020000  1 
001000000000020000  1 
001000000000020202  1 
001000000000022002  1 
001000000000022200  1 
001000000000022202  1 
001000000000022202  1 
001000000000022220  1 
001000000000022220  1 
001000000000200022  1 
001000000000200222  1 
001000000000202200  1 
001000000000220220  1 
001000000000222022  1 
001000000002000000  1 
001000000002002000  1 
001000000002002002  1 
001000000002002002  1 
001000000002022200  1 
001000000002022202  1 
001000000002022202  1 
001000000002222202  1 
001000000002222220  1 
001000000020000000  1 
001000000020000000  1 
001000000020000000  1 
001000000020000020  1 
001000000020000020  1 
001000000020000022  1 
001000000020002000  1 
010000000222022000  1 
001000000020002220  1 
001000000020002222  1 
001000000020022020  1 
001000000020022200  1 
001000000020220000  1 
001000000020222020  1 
001000000020222222  1 
001000000022000200  1 
001000000022002222  1 
001000000022022002  1 
001000000022022020  1 
001000000022022200  1 
001000000022222200  1 
001000000022222202  1 
001000000200000000  1 
001000000200000000  1 
001000000200000000  1 
001000000200000000  1 
010000002000022202  1 
001000000200000000  1 
001000000200000000  1 
001000000200000000  1 
001000000200000000  1 
001000000200000002  1 
001000000200000002  1 
001000000200002002  1 
001000000200002002  1 
001000000200002022  1 
001000000200002200  1 
001000000200002200  1 
001000000200020220  1 
010000002002022222  1 
001000000200022000  1 
001000000200022000  1 
001000000200022020  1 
001000000200022200  1 
001000000200022220  1 
001000000200200000  1 
001000000200200022  1 
001000000200202022  1 
001000000200202220  1 
001000000200222000  1 
001000000200222202  1 
001000000202002220  1 
001000000202020002  1 
001000000202020220  1 
001000000202022002  1 
001000000202022200  1 
001000000202022202  1 
001000000202022220  1 
001000000202200002  1 
001000000202222202  1 
001000000220000000  1 
001000000220000002  1 
010000002202200000  1 
001000000220000202  1 
001000000220002000  1 
001000000220002002  1 
001000000220002202  1 
001000000220020202  1 
001000000220022000  1 
001000000220022002  1 
001000000220022200  1 
001000000220022202  1 
001000000220200202  1 
001000000220200220  1 
001000000220202020  1 
001000000220220222  1 
001000000220222002  1 
001000000222002002  1 
001000000222002222  1 
001000000222022220  1 
001000000222222022  1 
001000002000000000  1 
001000002000000000  1 
001000002000000002  1 
001000002000000002  1 
001000002000000200  1 
001000002000002000  1 
001000002000002020  1 
001000002000022000  1 
001000002000022022  1 
001000002000222200  1 
001000002002022000  1 
001000002002022002  1 
001000002002022202  1 
010000002222022220  1 
001000002020000000  1 
001000002020022000  1 
001000002020202020  1 
001000002200002202  1 
001000002200002220  1 
001000002200022002  1 
001000002200022202  1 
001000002200022220  1 
001000002200022222  1 
001000002200200022  1 
001000002200200222  1 
001000002202000022  1 
001000002202002202  1 
010000020200000000  1 
001000002202022202  1 
001000002202202220  1 
001000002202222200  1 
001000002220000020  1 
001000002220002000  1 
001000002220022022  1 
001000002220022220  1 
001000002220022222  1 
001000002220222002  1 
001000002222020000  1 
001000002222022222  1 
001000020000000000  1 
001000020000000000  1 
001000020000000000  1 
001000020000000000  1 
001000020000000000  1 
001000020000000000  1 
001000020000000000  1 
001000020020002202  1 
001000020202000202  1 
010000202220000200  1 
001000020202222022  1 
001000022202002220  1 
001000200000000000  1 
001000200202020202  1 
